CHART,OI,CHNG IN OI,VOLUME,IV,LTP,NET CHNG,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,STRIKE PRICE,BIDQTY,BIDPRICE,ASKPRICE,ASKQTY,NET CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,CHART
,-,-,-,-,-,-,600,"2,818.10","3,114.40","1,200",6100.00,"10,500",0.25,0.35,525,-0.15,0.25,173.96,437,-900,"41,100",
,-,-,-,-,-,-,"9,900","2,565.05","3,181.60","11,025",6150.00,-,-,1.50,"6,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,509.75","3,124.60","9,900",6200.00,-,-,1.20,"4,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,501.80","3,071.45","1,125",6250.00,-,-,1.70,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,422.15","3,015.10","1,125",6300.00,-,-,1.10,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,380.10","2,962.75","9,900",6350.00,-,-,1.70,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,364.40","2,904.90","9,900",6400.00,975,0.50,1.10,"2,100",-140.40,1.30,174.47,813,975,975,
,-,-,-,-,-,-,"9,900","2,319.30","2,849.30","9,900",6450.00,600,0.10,1.40,"3,000",-152.05,0.60,158.11,134,-,-,
,-,-,-,-,-,-,"9,900","2,276.10","2,674.05","1,125",6500.00,150,0.50,0.65,375,-,0.45,154.72,"2,332","-2,025","42,450",
,-,-,-,-,-,-,"9,900","2,204.05","2,738.20","9,900",6550.00,300,0.10,1.75,"6,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,181.65","2,682.00","1,125",6600.00,-,-,1.30,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,137.65","2,631.40","9,900",6650.00,-,-,1.80,"4,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","2,068.65","2,573.55","9,900",6700.00,-,-,1.35,"3,000",-,-,-,-,-,-,
,75,75,4,-,"2,185.00",509.90,"9,900","2,044.60","2,400.05","9,900",6750.00,75,0.30,1.50,"1,500",-122.50,1.65,112.80,5,225,225,
,-,-,-,-,-,-,"9,900","2,001.15","2,461.80","9,900",6800.00,-,-,1.15,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","1,955.70","2,404.90","9,900",6850.00,-,-,1.70,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","1,906.45","2,349.40","9,900",6900.00,-,-,1.15,"6,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,900","1,863.05","2,298.45","9,900",6950.00,-,-,1.30,750,-,-,-,-,-,-,
,150,-,-,-,"2,269.10",-,150,"1,910.90","1,982.95",150,7000.00,"1,875",0.55,0.60,"4,050",-0.30,0.55,121.92,"1,394","-14,325","176,925",
,-,-,-,-,-,-,"1,125","1,778.30","2,170.15","1,125",7050.00,225,0.45,0.95,75,-0.80,0.25,109.55,14,-300,"2,400",
,75,-,-,-,"2,081.90",-,"1,125","1,747.85","2,013.40","1,125",7100.00,75,0.70,0.85,75,-0.10,0.90,121.80,167,-150,"4,950",
,-,-,-,-,-,-,"9,900","1,687.55","2,045.95","9,900",7150.00,"5,325",0.25,1.20,"6,300",-0.25,0.60,116.49,101,"5,325","5,325",
,-,-,-,-,-,-,75,"1,701.00","1,903.40",75,7200.00,150,0.60,1.10,75,0.05,1.15,114.61,229,"11,025","11,850",
,-,-,-,-,-,-,"1,125","1,603.25","1,948.65","9,900",7250.00,150,1.00,1.35,75,-,1.05,110.06,56,"1,725","3,150",
,-,-,-,-,-,-,75,"1,601.25","1,793.05","9,900",7300.00,75,0.80,1.00,825,-0.15,0.90,108.75,195,"5,400","10,350",
,-,-,-,-,-,-,"1,125","1,506.90","1,807.00","9,900",7350.00,300,0.20,1.75,300,-0.05,1.05,106.09,15,-,-,
,-,-,-,-,-,-,75,"1,466.55","1,587.55",75,7400.00,75,0.65,1.25,75,-0.10,1.10,102.86,785,"2,475","25,575",
,-,-,-,-,-,-,"1,125","1,309.10","1,748.10","1,125",7450.00,"2,625",0.45,1.75,900,0.15,1.15,100.68,3,225,225,
,-,-,-,-,-,-,75,"1,425.80","1,475.80",75,7500.00,600,1.10,1.35,75,-0.20,1.20,96.46,"3,644","-51,375","268,200",
